Latitude,Longitude,Time,Day of Week,Dangerous
38.54765118,-121.7644418,40,Friday,0
38.54544083,-121.7574563,421,Friday,1
38.53853191,-121.7501109,807,Friday,0
38.54194774,-121.7715774,1127,Friday,1
38.53451939,-121.7473424,1208,Friday,1
38.55446014,-121.4554615,24,Friday,0
38.55446014,-121.4554615,577,Friday,0
38.55424654,-121.4525075,1097,Friday,1
38.55446014,-121.4554615,1341,Friday,0
38.53462416,-121.7583333,72,Saturday,0
38.54263749,-121.7765427,1105,Saturday,1
38.5380452,-121.7707109,1334,Saturday,1
38.54154904,-121.7504729,1436,Saturday,1
38.54038788,-121.7570391,172,Sunday,1
38.54682138,-121.7630685,810,Sunday,0
38.5396262,-121.7506563,975,Sunday,0
38.54067246,-121.7477527,1002,Sunday,0
38.53477439,-121.7485159,1193,Sunday,0
38.54244983,-121.7766019,1394,Sunday,1
38.54666385,-121.7640328,591,Monday,1
38.53884591,-121.7706151,747,Monday,1
38.53544628,-121.7588767,1049,Monday,1
38.55438486,-121.4553364,518,Monday,0
38.55438486,-121.4553364,549,Monday,1
38.55438486,-121.4553364,1210,Monday,0
38.56833679,-121.4655267,1223,Monday,1
38.55438486,-121.4553364,1238,Monday,0
38.54724388,-121.7632012,97,Tuesday,0
38.54263749,-121.7764676,221,Tuesday,0
38.54213722,-121.7498797,712,Tuesday,0
38.54446735,-121.7637024,742,Tuesday,0
38.54478232,-121.7655576,746,Tuesday,1
38.54844378,-121.7669827,922,Tuesday,1
38.54165389,-121.7708041,1134,Tuesday,1
38.54391536,-121.7501631,1342,Tuesday,0
38.56415118,-121.4673627,106,Tuesday,1
38.55441842,-121.4554222,1024,Tuesday,1
38.55441842,-121.4554222,1061,Tuesday,0
38.55352608,-121.4562389,1133,Tuesday,0
38.5435404,-121.7587131,669,Wednesday,1
38.54269446,-121.7641058,911,Wednesday,1
38.54193482,-121.7735384,1126,Wednesday,0
38.54497679,-121.7563535,1270,Wednesday,1
38.55419852,-121.4513235,466,Wednesday,1
38.55604524,-121.4562183,775,Wednesday,1
38.55172143,-121.4496458,1234,Wednesday,1
38.5545191,-121.4552935,1250,Wednesday,0
38.5545191,-121.4552935,1352,Wednesday,0
38.54059766,-121.7577346,480,Thursday,0
38.53384883,-121.7655339,580,Thursday,1
38.54475715,-121.7656005,740,Thursday,1
38.54761809,-121.7636579,1133,Thursday,1
38.5372773,-121.757298,1252,Thursday,1
38.55435969,-121.455508,748,Thursday,1
38.55172143,-121.4497317,855,Thursday,1
38.55198583,-121.4553188,862,Thursday,1
38.54212883,-121.7498261,5,Friday,0
38.54300975,-121.7760083,747,Friday,0
38.54091399,-121.7536261,769,Friday,1
38.53731926,-121.7573087,1049,Friday,0
38.5404657,-121.7784064,661,Saturday,0
38.54165239,-121.7737912,800,Saturday,0
38.54178499,-121.772816,646,Sunday,1
38.54454823,-121.7503785,2,Monday,0
38.54376434,-121.7600553,583,Monday,1
38.54155611,-121.7463052,709,Monday,1
38.53382332,-121.7579836,916,Monday,1
38.53312962,-121.7503416,621,Tuesday,1
38.53045181,-121.7621841,664,Tuesday,0
38.5443927,-121.7575076,932,Wednesday,0
38.54765165,-121.7637008,933,Wednesday,0
38.54212041,-121.7498583,1173,Wednesday,0
38.53828987,-121.7508256,216,Friday,0
38.53680226,-121.7444969,1019,Friday,1
38.54442381,-121.7641212,1240,Friday,0
38.53562555,-121.7557683,1015,Monday,1
38.53676322,-121.7577667,695,Tuesday,0
38.54430039,-121.7575076,1182,Tuesday,0
38.54062973,-121.7703017,1007,Wednesday,0
