Latitude,Longitude,Time,Day of Week,Dangerous
38.53344392,-121.754884,466,Monday,1
38.53774466,-121.7461247,564,Monday,1
38.54082712,-121.7476955,551,Monday,0
38.55268158,-121.4561616,1201,Monday,0
38.53682071,-121.7530997,534,Tuesday,1
38.54290959,-121.7488508,575,Tuesday,0
38.54377155,-121.7601373,613,Tuesday,1
38.54338799,-121.7541888,799,Tuesday,1
38.53959946,-121.747611,1106,Tuesday,1
38.53815429,-121.7706573,1138,Tuesday,1
38.54063962,-121.7576702,1371,Tuesday,0
38.55452746,-121.4554222,782,Tuesday,0
38.54145646,-121.7469509,766,Wednesday,0
38.54069836,-121.7577024,789,Wednesday,0
38.54070494,-121.7768418,731,Wednesday,1
38.53578826,-121.7642159,1104,Wednesday,1
38.55544491,-121.4581223,868,Wednesday,0
38.55452746,-121.4554544,1042,Wednesday,0
38.54289268,-121.7591156,885,Thursday,1
38.54180164,-121.7732933,1257,Thursday,1
38.55454424,-121.4554115,495,Thursday,0
38.55454424,-121.4554115,1087,Thursday,0
38.54074871,-121.7577132,39,Friday,0
38.5469892,-121.7631436,512,Friday,1
38.54309367,-121.7760083,721,Friday,1
38.54163725,-121.764046,813,Friday,0
38.52851915,-121.7568946,1405,Friday,1
38.55402585,-121.4493352,264,Friday,1
38.55454424,-121.4554115,1099,Friday,0
38.55454424,-121.4554115,1148,Friday,1
38.55126934,-121.4554356,1266,Friday,0
38.54631933,-121.7507976,99,Saturday,1
38.54733618,-121.7631154,1041,Saturday,1
38.59056978,-121.7856827,1417,Saturday,0
38.54394302,-121.7581093,62,Sunday,0
38.54404123,-121.7501738,255,Sunday,0
38.5378646,-121.7588403,386,Sunday,0
38.54644532,-121.7588524,603,Sunday,1
38.53930642,-121.7474305,1107,Sunday,1
38.54647049,-121.7588632,682,Monday,1
38.54290946,-121.7590834,930,Monday,1
38.54294315,-121.7488615,927,Monday,0
38.54134085,-121.7701925,1039,Monday,0
38.54165995,-121.7526883,612,Tuesday,0
38.53974878,-121.7494965,694,Tuesday,1
38.54214956,-121.7751247,710,Tuesday,1
38.54173129,-121.7630845,785,Tuesday,0
38.53948201,-121.7518981,811,Tuesday,1
38.53929994,-121.7607091,84,Wednesday,0
38.54141917,-121.7788452,1311,Wednesday,1
38.54772024,-121.7644371,1438,Wednesday,0
38.53950849,-121.7745626,216,Thursday,1
38.54045061,-121.7711162,993,Thursday,1
38.53929216,-121.7626679,85,Friday,1
38.53375416,-121.7567239,468,Friday,1
38.54098164,-121.8078452,641,Friday,1
38.56055387,-121.7348857,647,Friday,0
38.5451299,-121.7610786,11,Saturday,0
38.53931733,-121.7626894,61,Saturday,0
38.54289268,-121.7590941,1098,Saturday,1
38.53398278,-121.7580694,936,Sunday,1
38.54099294,-121.7496032,1272,Sunday,0
38.53760272,-121.7568087,191,Monday,0
38.5395438,-121.7547192,510,Monday,0
38.54163725,-121.7640246,764,Monday,0
38.54569217,-121.7621618,832,Monday,1
38.53606559,-121.752389,967,Monday,1
38.54159939,-121.7504407,995,Monday,0
38.54853608,-121.7668754,591,Tuesday,0
38.54112307,-121.7484391,700,Tuesday,0
38.53865792,-121.7532026,749,Tuesday,1
38.54185089,-121.7722845,624,Tuesday,0
38.54173986,-121.7596385,898,Tuesday,0
38.53641183,-121.7470735,1216,Tuesday,1
38.53843023,-121.7556585,713,Wednesday,1
38.53702218,-121.7587714,645,Wednesday,0
38.54382306,-121.7501631,789,Wednesday,1
38.53832665,-121.750811,873,Wednesday,1
38.5352339,-121.7526284,1165,Wednesday,1
38.53545317,-121.7583057,1342,Wednesday,0
38.54212883,-121.7498261,538,Tuesday,1
38.54318581,-121.7561155,696,Tuesday,1
38.53548824,-121.7589303,717,Tuesday,0
38.53564559,-121.7642374,1081,Tuesday,1
38.54194555,-121.7546275,1342,Tuesday,1
38.54122616,-121.7787165,1439,Tuesday,0
38.53043354,-121.7617592,642,Wednesday,0
38.54663868,-121.7640328,739,Thursday,0
38.57102051,-121.7652863,688,Wednesday,0
38.53130206,-121.7637913,1051,Thursday,1
38.54275005,-121.7591048,1086,Monday,0
38.53566237,-121.764291,1026,Tuesday,0
